DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-02-21,USC00434290,-19.975655,-20.6,-20.355655,-19.595655,0.0
2025-02-22,USC00434290,-14.312553,-13.3,-14.692553,-13.932552999999999,0.0
2025-02-23,USC00434290,-14.010012,-13.3,-14.390012,-13.630011999999999,0.0
2025-02-24,USC00434290,-6.221931,-6.1,-6.6019309999999995,-5.841931,0.0
2025-02-25,USC00434290,-6.0803266,-5.6,-6.4603266,-5.7003266,0.0
2025-02-26,USC00434290,0.61265576,0.6,0.23265576,0.99265576,0.0
2025-02-27,USC00434290,-8.846449,-8.9,-9.226449,-8.466448999999999,0.0
2025-02-28,USC00434290,-6.3500104,-6.7,-6.7300104,-5.9700104000000005,0.0
2025-01-01,USC00435490,1.2927996,1.7,0.9127995999999999,1.6727995999999998,0.0
2025-01-02,USC00435490,-2.3680139,-2.2,-2.7480138999999997,-1.9880139,0.0
2025-01-03,USC00435490,-5.3247595,-5.0,-5.7047595,-4.9447595,0.0
2025-01-04,USC00435490,-10.898942,-11.1,-11.278942,-10.518942,0.0
2025-01-05,USC00435490,-11.259818,-11.1,-11.639818,-10.879817999999998,0.0
2025-01-06,USC00435490,-16.78098,-17.2,-17.16098,-16.40098,0.0
2025-01-07,USC00435490,-17.514378,-17.8,-17.894378,-17.134378,0.0
2025-01-08,USC00435490,-14.182846,-13.9,-14.562846,-13.802845999999999,0.0
2025-01-09,USC00435490,-14.006197,-13.9,-14.386197000000001,-13.626197,0.0
2025-01-10,USC00435490,-13.392783,-13.3,-13.772783,-13.012782999999999,0.0
2025-01-11,USC00435490,-12.715028,-12.8,-13.095028000000001,-12.335028,0.0
2025-01-12,USC00435490,-9.361734,-8.9,-9.741734000000001,-8.981734,0.0
2025-01-13,USC00435490,-12.0975065,-11.7,-12.4775065,-11.717506499999999,0.0
2025-01-14,USC00435490,-8.0431185,-7.8,-8.423118500000001,-7.6631185,0.0
2025-01-15,USC00435490,-10.447657,-10.6,-10.827657,-10.067656999999999,0.0
2025-01-16,USC00435490,-18.850136,-18.9,-19.230135999999998,-18.470136,0.0
2025-01-17,USC00435490,-11.571834,-11.7,-11.951834000000002,-11.191834,0.0
2025-01-18,USC00435490,-10.143552,-10.0,-10.523552,-9.763551999999999,0.0
2025-01-19,USC00435490,-4.5544653,-4.4,-4.9344653,-4.1744653000000005,0.0
2025-01-20,USC00435490,-14.212659,-13.9,-14.592659000000001,-13.832659,0.0
2025-01-21,USC00435490,-22.80552,-23.3,-23.18552,-22.425520000000002,0.0
2025-01-22,USC00435490,-22.893606,-22.8,-23.273605999999997,-22.513606,0.0
2025-01-23,USC00435490,-23.72258,-23.3,-24.10258,-23.34258,4.004722000000029
2025-01-24,USC00435490,-14.08621,-13.3,-14.46621,-13.706209999999999,0.0
2025-01-25,USC00435490,-22.240067,-21.7,-22.620067,-21.860067,0.0
2025-01-26,USC00435490,-21.15042,-20.6,-21.53042,-20.77042,0.0
2025-01-27,USC00435490,-7.355539,-6.7,-7.735539,-6.975539,0.0
2025-01-28,USC00435490,-6.723356,-6.7,-7.103356,-6.343356,0.0
2025-01-29,USC00435490,-17.005394,-16.7,-17.385393999999998,-16.625394,0.0
2025-01-30,USC00435490,-20.722515,-20.0,-21.102515,-20.342515000000002,0.0
2025-01-31,USC00435490,-22.018234,-21.7,-22.398234,-21.638234,0.0
2025-02-01,USC00435490,-13.549987,-12.8,-13.929987,-13.169986999999999,0.0
2025-02-02,USC00435490,-28.404093,-27.8,-28.784093,-28.024093,50.81985200000002
2025-02-03,USC00435490,-27.064478,-26.7,-27.444478,-26.684478000000002,37.423702000000034
2025-02-04,USC00435490,-6.9927616,-6.1,-7.3727616,-6.6127616,0.0
2025-02-05,USC00435490,-19.311707,-18.3,-19.691706999999997,-18.931707,0.0
2025-02-06,USC00435490,-23.897978,-23.3,-24.277977999999997,-23.517978,5.758702000000007
2025-02-07,USC00435490,-21.076529,-20.6,-21.456529,-20.696529,0.0
2025-02-08,USC00435490,-11.525017,-10.0,-11.905017,-11.145017,0.0
2025-02-09,USC00435490,-10.20826,-10.0,-10.58826,-9.828259999999998,0.0
2025-02-10,USC00435490,-8.264748,-8.3,-8.644748000000002,-7.884748000000001,0.0
2025-02-11,USC00435490,-18.140179,-17.2,-18.520179,-17.760179,0.0
2025-02-12,USC00435490,-14.429251,-13.9,-14.809251000000001,-14.049251,0.0
2025-02-13,USC00435490,-14.342007,-13.9,-14.722007000000001,-13.962007,0.0
2025-02-14,USC00435490,-12.50592,-12.2,-12.88592,-12.125919999999999,0.0
2025-02-15,USC00435490,-19.80594,-19.4,-20.18594,-19.42594,0.0
2025-02-16,USC00435490,-19.259045,-19.4,-19.639045,-18.879045,0.0
2025-02-17,USC00435490,-13.184788,-12.2,-13.564788,-12.804787999999999,0.0
2025-02-18,USC00435490,-15.000443,-14.4,-15.380443000000001,-14.620443,0.0
2025-02-19,USC00435490,-22.829773,-22.8,-23.209773,-22.449773,0.0
2025-02-20,USC00435490,-24.695604,-24.4,-25.075604,-24.315604,13.734962000000017
2025-02-21,USC00435490,-24.870892,-24.4,-25.250892,-24.490892000000002,15.487842000000034
2025-02-22,USC00435490,-18.974283,-18.3,-19.354283,-18.594283,0.0
2025-02-23,USC00435490,-19.831867,-19.4,-20.211866999999998,-19.451867,0.0
2025-02-24,USC00435490,-6.1908965,-5.0,-6.5708965,-5.8108965,0.0
2025-02-25,USC00435490,-5.410571,-5.0,-5.790571,-5.030571,0.0
2025-02-26,USC00435490,0.4290241,0.6,0.049024100000000015,0.8090241,0.0
2025-02-27,USC00435490,-7.890439,-7.8,-8.270439,-7.510439,0.0
2025-02-28,USC00435490,-2.5827448,-2.2,-2.9627448,-2.2027448,0.0
2025-01-01,USC00438169,-1.3014138,-1.1,-1.6814138,-0.9214138,0.0
2025-01-02,USC00438169,-3.9032376,-3.9,-4.2832376000000005,-3.5232376000000003,0.0
2025-01-03,USC00438169,-7.6873794,-7.8,-8.0673794,-7.3073794,0.0
2025-01-04,USC00438169,-13.366321,-13.9,-13.746321,-12.986320999999998,0.0
2025-01-05,USC00438169,-14.713824,-15.0,-15.093824000000001,-14.333824,0.0
2025-01-06,USC00438169,-21.316404,-21.7,-21.696403999999998,-20.936404,0.0
2025-01-07,USC00438169,-21.409864,-21.1,-21.789863999999998,-21.029864,0.0
