ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00274304,2025,2,TMIN,-61.0,-222.0,-189.0,-28.0,-117.0,-156.0,-106.0,-83.0,-61.0,-83.0,-172.0,-139.0,-83.0,-72.0,-117.0,-56.0,-78.0,-106.0,-133.0,-161.0,-89.0,-111.0,-72.0,-33.0,-11.0,28.0,-17.0,11.0,,,
USC00274304,2025,3,TMIN,-6.0,-100.0,-144.0,-122.0,-61.0,-156.0,-50.0,-39.0,-50.0,-22.0,-33.0,6.0,-6.0,-33.0,0.0,44.0,83.0,-161.0,-22.0,0.0,33.0,-17.0,-56.0,-56.0,,,,,,,
USC00274329,2025,2,TMIN,-100.0,-267.0,-267.0,-78.0,-172.0,-233.0,-233.0,-106.0,-106.0,-89.0,-167.0,-161.0,-139.0,-122.0,-178.0,-178.0,-122.0,-156.0,-183.0,-222.0,-222.0,-122.0,-122.0,-50.0,-50.0,-11.0,,-11.0,,,
USC00274329,2025,3,TMIN,-22.0,-167.0,-228.0,-261.0,-106.0,-11.0,-100.0,-94.0,-83.0,-83.0,-33.0,-50.0,-78.0,-78.0,-56.0,-11.0,78.0,-44.0,-44.0,-28.0,22.0,-67.0,-94.0,-94.0,-39.0,,,,,,
USC00274399,2025,2,TMIN,-106.0,-217.0,-211.0,-67.0,-161.0,-189.0,-161.0,-111.0,-89.0,-106.0,-172.0,-178.0,-172.0,-67.0,-150.0,-139.0,-67.0,-106.0,-144.0,-178.0,-172.0,-133.0,-122.0,-83.0,-33.0,-17.0,-28.0,-17.0,,,
USC00274399,2025,3,TMIN,-39.0,-128.0,-183.0,-183.0,-100.0,-17.0,-50.0,-50.0,-83.0,-89.0,-61.0,-61.0,-22.0,-56.0,-56.0,-17.0,33.0,-11.0,-44.0,-44.0,39.0,-56.0,-56.0,-56.0,-17.0,,,,,,
USC00274480,2025,2,TMIN,-122.0,-211.0,-200.0,-39.0,-150.0,-194.0,-194.0,-122.0,-100.0,-106.0,-189.0,-189.0,-144.0,-61.0,-128.0,-67.0,-89.0,-117.0,-167.0,-178.0,-172.0,-78.0,-67.0,-56.0,-56.0,-33.0,-39.0,-22.0,,,
USC00274480,2025,3,TMIN,,-133.0,-167.0,-161.0,-78.0,6.0,-72.0,-61.0,-61.0,-61.0,-22.0,6.0,-50.0,-50.0,-44.0,6.0,78.0,-6.0,-11.0,-6.0,28.0,-22.0,-56.0,-56.0,-50.0,,,,,,
USC00274734,2025,2,TMIN,-128.0,-233.0,-233.0,-83.0,-139.0,-222.0,,-100.0,-94.0,-100.0,-211.0,-217.0,-156.0,-94.0,-133.0,-133.0,,-133.0,-156.0,-172.0,-161.0,-111.0,-106.0,-67.0,-56.0,-44.0,-50.0,-44.0,,,
USC00274734,2025,3,TMIN,-67.0,-156.0,-178.0,-178.0,-106.0,-28.0,-78.0,-78.0,-72.0,-67.0,-44.0,-44.0,-67.0,-61.0,-56.0,-28.0,33.0,-28.0,-39.0,-22.0,33.0,-50.0,-83.0,-83.0,-50.0,,,,,,
USC00274810,2025,2,TMIN,-122.0,-189.0,,-78.0,-178.0,-178.0,-156.0,-106.0,-100.0,-89.0,-133.0,,-122.0,-122.0,-139.0,-167.0,-222.0,-178.0,-200.0,-189.0,-122.0,,-133.0,-78.0,-67.0,-17.0,-61.0,,,,
USC00274810,2025,3,TMIN,,-206.0,-206.0,-194.0,-89.0,,-122.0,-144.0,-144.0,-106.0,,-67.0,,,-56.0,-11.0,39.0,-61.0,-50.0,-33.0,0.0,-56.0,-128.0,-122.0,-72.0,,,,,,
USC00275013,2025,2,TMIN,,,,,-133.0,-183.0,-172.0,,,-89.0,-178.0,-183.0,-161.0,-67.0,,,-139.0,-117.0,-150.0,-156.0,-161.0,,,,-33.0,11.0,-28.0,-6.0,,,
USC00275013,2025,3,TMIN,,,,-167.0,-72.0,28.0,,,,,-44.0,,-17.0,-50.0,,,,-11.0,-28.0,-33.0,22.0,,,,-11.0,,,,,,
USC00275211,2025,2,TMIN,-200.0,-189.0,-94.0,-117.0,-172.0,-156.0,-161.0,-139.0,-122.0,-206.0,-211.0,-144.0,-56.0,-150.0,-150.0,-61.0,-94.0,-133.0,-150.0,-133.0,-94.0,-94.0,-28.0,-28.0,-11.0,-22.0,-22.0,-17.0,,,
USC00275211,2025,3,TMIN,-17.0,-111.0,-139.0,-122.0,-56.0,,-44.0,-44.0,-39.0,-33.0,-6.0,-17.0,-50.0,-44.0,-17.0,56.0,,,-22.0,28.0,-28.0,-44.0,-44.0,-17.0,,,,,,,
USC00275703,2025,2,TMIN,-22.0,-200.0,-150.0,-72.0,-122.0,-161.0,-139.0,-106.0,-106.0,-94.0,-161.0,-161.0,-111.0,-56.0,-122.0,-111.0,-67.0,-122.0,-133.0,-156.0,-117.0,-106.0,-150.0,-44.0,-44.0,6.0,-28.0,-22.0,,,
USC00275703,2025,3,TMIN,-11.0,-117.0,-139.0,-106.0,-22.0,11.0,-44.0,-39.0,-61.0,-61.0,-50.0,6.0,-11.0,-22.0,-33.0,22.0,67.0,11.0,-33.0,-33.0,28.0,-28.0,-44.0,-44.0,-22.0,,,,,,
USC00275868,2025,2,TMIN,,-256.0,,-61.0,-183.0,-200.0,,,-67.0,-106.0,-222.0,-222.0,-217.0,,,-183.0,-94.0,,,-206.0,,,,-33.0,,,,,,,
USC00275868,2025,3,TMIN,,,-194.0,-167.0,-100.0,-39.0,,,-94.0,-39.0,-22.0,-22.0,-50.0,,,-33.0,50.0,,,,,-50.0,-100.0,-56.0,,,,,,,
USC00275995,2025,2,TMIN,-117.0,-228.0,-217.0,-78.0,-139.0,-206.0,-161.0,-83.0,-83.0,-128.0,-200.0,-172.0,-106.0,-83.0,-117.0,-117.0,-94.0,-122.0,-139.0,-178.0,-117.0,-111.0,-94.0,-61.0,-50.0,-39.0,-50.0,-33.0,,,
