DATE,ID,SNWD
2025-02-06,USC00272303,406.0
2025-02-07,USC00272303,483.0
2025-02-08,USC00272303,483.0
2025-02-09,USC00272303,686.0
2025-02-10,USC00272303,635.0
2025-02-11,USC00272303,610.0
2025-02-12,USC00272303,533.0
2025-02-13,USC00272303,584.0
2025-02-14,USC00272303,559.0
2025-02-15,USC00272303,559.0
2025-02-16,USC00272303,610.0
2025-02-17,USC00272303,686.0
2025-02-18,USC00272303,635.0
2025-02-19,USC00272303,635.0
2025-02-20,USC00272303,635.0
2025-02-21,USC00272303,635.0
2025-02-22,USC00272303,635.0
2025-02-23,USC00272303,635.0
2025-02-24,USC00272303,610.0
2025-02-25,USC00272303,610.0
2025-02-26,USC00272303,584.0
2025-02-27,USC00272303,559.0
2025-02-28,USC00272303,660.0
2025-03-01,USC00272303,660.0
2025-03-02,USC00272303,610.0
2025-03-03,USC00272303,610.0
2025-03-04,USC00272303,610.0
2025-03-05,USC00272303,610.0
2025-03-06,USC00272303,584.0
2025-03-07,USC00272303,508.0
2025-03-08,USC00272303,508.0
2025-03-09,USC00272303,508.0
2025-03-10,USC00272303,508.0
2025-03-11,USC00272303,483.0
2025-03-12,USC00272303,457.0
2025-03-13,USC00272303,457.0
2025-03-14,USC00272303,432.0
2025-03-15,USC00272303,406.0
2025-03-16,USC00272303,381.0
2025-03-17,USC00272303,305.0
2025-03-18,USC00272303,279.0
2025-03-19,USC00272303,254.0
2025-03-20,USC00272303,203.0
2025-03-21,USC00272303,152.0
2025-03-22,USC00272303,127.0
2025-03-23,USC00272303,102.0
2025-03-24,USC00272303,102.0
2025-03-25,USC00272303,229.0
2025-02-01,USC00272800,76.0
2025-02-03,USC00272800,102.0
2025-02-04,USC00272800,102.0
2025-02-05,USC00272800,76.0
2025-02-06,USC00272800,76.0
2025-02-08,USC00272800,102.0
2025-02-09,USC00272800,254.0
2025-02-10,USC00272800,254.0
2025-02-11,USC00272800,229.0
2025-02-12,USC00272800,178.0
2025-02-13,USC00272800,229.0
2025-02-14,USC00272800,203.0
2025-02-15,USC00272800,203.0
2025-02-16,USC00272800,330.0
2025-02-17,USC00272800,432.0
2025-02-18,USC00272800,406.0
2025-02-19,USC00272800,406.0
2025-02-20,USC00272800,406.0
2025-02-21,USC00272800,406.0
2025-02-22,USC00272800,406.0
2025-02-23,USC00272800,381.0
2025-02-24,USC00272800,381.0
2025-02-25,USC00272800,254.0
2025-02-26,USC00272800,203.0
2025-02-27,USC00272800,152.0
2025-02-28,USC00272800,152.0
2025-03-01,USC00272800,152.0
2025-03-02,USC00272800,152.0
2025-03-03,USC00272800,152.0
2025-03-04,USC00272800,76.0
2025-03-05,USC00272800,127.0
2025-03-06,USC00272800,102.0
2025-03-07,USC00272800,102.0
2025-03-08,USC00272800,102.0
2025-03-09,USC00272800,102.0
2025-03-10,USC00272800,76.0
2025-03-11,USC00272800,76.0
2025-03-12,USC00272800,51.0
2025-03-13,USC00272800,0.0
2025-03-16,USC00272800,0.0
2025-03-17,USC00272800,0.0
2025-03-18,USC00272800,0.0
2025-03-19,USC00272800,0.0
2025-03-20,USC00272800,0.0
2025-03-21,USC00272800,0.0
2025-03-23,USC00272800,0.0
2025-03-24,USC00272800,0.0
2025-03-25,USC00272800,0.0
2025-03-24,USC00272999,0.0
2025-02-03,USC00273182,254.0
2025-02-04,USC00273182,254.0
2025-02-05,USC00273182,229.0
2025-02-06,USC00273182,229.0
2025-02-07,USC00273182,330.0
2025-02-10,USC00273182,457.0
2025-02-11,USC00273182,457.0
2025-02-12,USC00273182,406.0
2025-02-13,USC00273182,432.0
2025-02-14,USC00273182,406.0
2025-02-18,USC00273182,483.0
2025-02-19,USC00273182,483.0
2025-02-20,USC00273182,483.0
2025-02-21,USC00273182,457.0
2025-02-24,USC00273182,457.0
2025-02-25,USC00273182,406.0
2025-02-26,USC00273182,381.0
2025-02-27,USC00273182,330.0
2025-02-28,USC00273182,381.0
2025-03-10,USC00273182,254.0
2025-03-11,USC00273182,229.0
2025-03-12,USC00273182,178.0
2025-03-13,USC00273182,178.0
2025-03-14,USC00273182,178.0
2025-03-17,USC00273182,0.0
2025-03-18,USC00273182,0.0
2025-03-19,USC00273182,0.0
2025-03-20,USC00273182,0.0
2025-03-21,USC00273182,0.0
2025-03-22,USC00273182,0.0
2025-03-23,USC00273182,0.0
2025-03-24,USC00273182,0.0
2025-03-25,USC00273182,102.0
2025-02-02,USC00273535,610.0
2025-02-03,USC00273535,610.0
2025-02-04,USC00273535,711.0
2025-02-05,USC00273535,711.0
2025-02-06,USC00273535,711.0
2025-02-07,USC00273535,737.0
2025-02-08,USC00273535,737.0
2025-02-09,USC00273535,838.0
2025-02-10,USC00273535,889.0
2025-02-12,USC00273535,889.0
2025-02-15,USC00273535,635.0
2025-02-19,USC00273535,813.0
2025-02-20,USC00273535,813.0
2025-02-21,USC00273535,813.0
2025-02-22,USC00273535,813.0
2025-02-23,USC00273535,813.0
2025-02-24,USC00273535,813.0
2025-02-25,USC00273535,813.0
2025-02-26,USC00273535,864.0
2025-02-27,USC00273535,864.0
2025-02-28,USC00273535,889.0
2025-03-01,USC00273535,914.0
2025-03-03,USC00273535,991.0
2025-03-04,USC00273535,991.0
2025-03-05,USC00273535,991.0
2025-03-06,USC00273535,838.0
2025-03-07,USC00273535,813.0
2025-03-08,USC00273535,813.0
2025-03-09,USC00273535,813.0
2025-03-10,USC00273535,813.0
2025-03-11,USC00273535,762.0
2025-03-12,USC00273535,762.0
2025-03-13,USC00273535,711.0
2025-03-14,USC00273535,711.0
2025-03-16,USC00273535,610.0
2025-03-17,USC00273535,356.0
2025-03-18,USC00273535,356.0
2025-03-22,USC00273535,483.0
2025-03-23,USC00273535,483.0
2025-03-24,USC00273535,406.0
2025-02-12,USC00273626,305.0
2025-02-13,USC00273626,305.0
2025-02-14,USC00273626,279.0
2025-03-05,USC00273626,178.0
2025-03-06,USC00273626,102.0
