DATE,ID,TMIN
2025-03-14,USC00276550,-50.0
2025-03-15,USC00276550,-50.0
2025-03-16,USC00276550,-17.0
2025-03-17,USC00276550,-50.0
2025-03-18,USC00276550,-22.0
2025-03-19,USC00276550,-28.0
2025-03-20,USC00276550,-28.0
2025-03-21,USC00276550,33.0
2025-03-22,USC00276550,-44.0
2025-03-23,USC00276550,-50.0
2025-03-24,USC00276550,-61.0
2025-03-25,USC00276550,0.0
2025-02-01,USC00276818,-117.0
2025-02-02,USC00276818,-233.0
2025-02-03,USC00276818,-239.0
2025-02-04,USC00276818,-83.0
2025-02-05,USC00276818,-156.0
2025-02-06,USC00276818,-217.0
2025-02-07,USC00276818,-161.0
2025-02-08,USC00276818,-111.0
2025-02-09,USC00276818,-111.0
2025-02-11,USC00276818,-156.0
2025-02-12,USC00276818,-156.0
2025-02-13,USC00276818,-161.0
2025-02-14,USC00276818,-122.0
2025-02-15,USC00276818,-133.0
2025-02-16,USC00276818,-139.0
2025-02-17,USC00276818,-128.0
2025-02-18,USC00276818,-161.0
2025-02-20,USC00276818,-183.0
2025-02-21,USC00276818,-183.0
2025-02-22,USC00276818,-144.0
2025-02-23,USC00276818,-144.0
2025-02-24,USC00276818,-139.0
2025-02-25,USC00276818,-144.0
2025-02-26,USC00276818,-11.0
2025-02-27,USC00276818,-83.0
2025-02-28,USC00276818,-56.0
2025-03-01,USC00276818,-100.0
2025-03-02,USC00276818,-167.0
2025-03-03,USC00276818,-189.0
2025-03-04,USC00276818,-189.0
2025-03-05,USC00276818,-111.0
2025-03-06,USC00276818,-11.0
2025-03-07,USC00276818,-83.0
2025-03-08,USC00276818,-111.0
2025-03-09,USC00276818,-106.0
2025-03-10,USC00276818,-78.0
2025-03-11,USC00276818,-39.0
2025-03-12,USC00276818,-33.0
2025-03-13,USC00276818,-67.0
2025-03-14,USC00276818,-67.0
2025-03-15,USC00276818,-78.0
2025-03-16,USC00276818,6.0
2025-03-17,USC00276818,44.0
2025-03-18,USC00276818,-44.0
2025-03-19,USC00276818,-50.0
2025-03-20,USC00276818,-28.0
2025-03-21,USC00276818,-33.0
2025-03-22,USC00276818,-22.0
2025-03-23,USC00276818,-106.0
2025-03-24,USC00276818,-106.0
2025-03-25,USC00276818,-78.0
2025-02-02,USC00276856,-333.0
2025-02-05,USC00276856,-194.0
2025-02-06,USC00276856,-278.0
2025-02-07,USC00276856,-250.0
2025-02-09,USC00276856,-144.0
2025-02-10,USC00276856,-144.0
2025-02-11,USC00276856,-222.0
2025-02-13,USC00276856,-222.0
2025-02-14,USC00276856,-133.0
2025-02-15,USC00276856,-228.0
2025-02-16,USC00276856,-228.0
2025-02-17,USC00276856,-139.0
2025-02-18,USC00276856,-172.0
2025-02-20,USC00276856,-256.0
2025-02-21,USC00276856,-250.0
2025-02-23,USC00276856,-122.0
2025-02-24,USC00276856,-106.0
2025-02-27,USC00276856,-122.0
2025-02-28,USC00276856,-100.0
2025-03-01,USC00276856,-122.0
2025-03-02,USC00276856,-172.0
2025-03-03,USC00276856,-272.0
2025-03-04,USC00276856,-250.0
2025-03-05,USC00276856,-106.0
2025-03-06,USC00276856,-22.0
2025-03-07,USC00276856,-106.0
2025-03-08,USC00276856,-106.0
2025-03-09,USC00276856,-100.0
2025-03-10,USC00276856,-100.0
2025-03-11,USC00276856,-106.0
2025-03-12,USC00276856,-94.0
2025-03-13,USC00276856,-122.0
2025-03-14,USC00276856,-111.0
2025-03-15,USC00276856,-61.0
