DATE,ID,PRCP
2025-02-22,US1NHCH0002,0.0
2025-02-23,US1NHCH0002,0.0
2025-02-24,US1NHCH0002,0.0
2025-02-25,US1NHCH0002,0.0
2025-02-26,US1NHCH0002,0.0
2025-02-27,US1NHCH0002,23.0
2025-02-28,US1NHCH0002,137.0
2025-03-01,US1NHCH0002,10.0
2025-03-02,US1NHCH0002,0.0
2025-03-03,US1NHCH0002,0.0
2025-03-04,US1NHCH0002,0.0
2025-03-05,US1NHCH0002,0.0
2025-03-06,US1NHCH0002,251.0
2025-03-07,US1NHCH0002,0.0
2025-03-08,US1NHCH0002,0.0
2025-03-09,US1NHCH0002,0.0
2025-03-10,US1NHCH0002,0.0
2025-03-11,US1NHCH0002,0.0
2025-03-12,US1NHCH0002,0.0
2025-03-13,US1NHCH0002,0.0
2025-03-14,US1NHCH0002,0.0
2025-03-15,US1NHCH0002,0.0
2025-03-16,US1NHCH0002,0.0
2025-03-17,US1NHCH0002,226.0
2025-03-18,US1NHCH0002,28.0
2025-03-19,US1NHCH0002,0.0
2025-03-20,US1NHCH0002,5.0
2025-03-21,US1NHCH0002,76.0
2025-03-22,US1NHCH0002,5.0
2025-03-23,US1NHCH0002,0.0
2025-03-24,US1NHCH0002,0.0
2025-03-25,US1NHCH0002,127.0
2025-02-01,US1NHCH0020,69.0
2025-02-02,US1NHCH0020,0.0
2025-02-03,US1NHCH0020,25.0
2025-02-04,US1NHCH0020,8.0
2025-02-05,US1NHCH0020,0.0
2025-02-06,US1NHCH0020,0.0
2025-02-07,US1NHCH0020,79.0
2025-02-08,US1NHCH0020,0.0
2025-02-09,US1NHCH0020,135.0
2025-02-10,US1NHCH0020,0.0
2025-02-11,US1NHCH0020,0.0
2025-02-12,US1NHCH0020,0.0
2025-02-13,US1NHCH0020,81.0
2025-02-14,US1NHCH0020,89.0
2025-02-15,US1NHCH0020,0.0
2025-02-16,US1NHCH0020,135.0
2025-02-17,US1NHCH0020,229.0
2025-02-18,US1NHCH0020,0.0
2025-02-19,US1NHCH0020,0.0
2025-02-20,US1NHCH0020,0.0
2025-02-21,US1NHCH0020,0.0
2025-02-22,US1NHCH0020,0.0
2025-02-23,US1NHCH0020,0.0
2025-02-24,US1NHCH0020,0.0
2025-02-25,US1NHCH0020,0.0
2025-02-26,US1NHCH0020,0.0
2025-02-27,US1NHCH0020,0.0
2025-02-28,US1NHCH0020,99.0
2025-03-01,US1NHCH0020,0.0
2025-03-02,US1NHCH0020,0.0
2025-03-03,US1NHCH0020,0.0
2025-03-04,US1NHCH0020,0.0
2025-03-05,US1NHCH0020,0.0
2025-03-06,US1NHCH0020,384.0
2025-03-07,US1NHCH0020,0.0
2025-03-08,US1NHCH0020,0.0
2025-03-09,US1NHCH0020,0.0
2025-03-10,US1NHCH0020,0.0
2025-03-11,US1NHCH0020,0.0
2025-03-12,US1NHCH0020,0.0
2025-03-13,US1NHCH0020,0.0
2025-03-14,US1NHCH0020,0.0
2025-03-15,US1NHCH0020,0.0
2025-03-16,US1NHCH0020,0.0
2025-03-17,US1NHCH0020,297.0
2025-03-18,US1NHCH0020,56.0
2025-03-19,US1NHCH0020,0.0
2025-03-20,US1NHCH0020,5.0
2025-03-21,US1NHCH0020,112.0
2025-03-22,US1NHCH0020,10.0
2025-03-23,US1NHCH0020,18.0
2025-03-25,US1NHCH0020,155.0
2025-02-01,US1NHCH0021,135.0
2025-02-02,US1NHCH0021,0.0
2025-02-03,US1NHCH0021,36.0
2025-02-04,US1NHCH0021,10.0
2025-02-05,US1NHCH0021,0.0
2025-02-06,US1NHCH0021,0.0
2025-02-07,US1NHCH0021,81.0
2025-02-08,US1NHCH0021,0.0
2025-02-09,US1NHCH0021,130.0
2025-02-10,US1NHCH0021,0.0
2025-02-11,US1NHCH0021,0.0
2025-02-12,US1NHCH0021,0.0
2025-02-13,US1NHCH0021,23.0
2025-02-14,US1NHCH0021,46.0
