DATE,ID,TMAX,TMIN,PRCP,SNOW,WT18,SNWD,WT04,WT09
1897-02-10,USC00272174,-17.0,-83.0,0.0,0.0,,,,
1897-02-11,USC00272174,-56.0,-144.0,0.0,0.0,,,,
1897-02-12,USC00272174,-89.0,-144.0,130.0,152.0,,,,
1897-02-13,USC00272174,-39.0,-144.0,0.0,0.0,,,,
1897-02-14,USC00272174,6.0,-239.0,0.0,0.0,,,,
1897-02-15,USC00272174,17.0,-139.0,0.0,0.0,,,,
1897-02-16,USC00272174,33.0,-11.0,13.0,13.0,,,,
1897-02-17,USC00272174,56.0,-128.0,0.0,0.0,,,,
1897-02-18,USC00272174,61.0,-33.0,0.0,0.0,,,,
1897-02-19,USC00272174,22.0,-56.0,0.0,0.0,,,,
1897-02-20,USC00272174,11.0,-139.0,0.0,0.0,,,,
1897-02-21,USC00272174,89.0,-39.0,69.0,64.0,,,,
1897-02-22,USC00272174,39.0,-39.0,0.0,0.0,,,,
1897-02-23,USC00272174,50.0,-44.0,127.0,102.0,,,,
1897-02-24,USC00272174,17.0,-83.0,0.0,0.0,,,,
1897-02-25,USC00272174,39.0,-183.0,0.0,0.0,,,,
1897-02-26,USC00272174,-17.0,-122.0,0.0,0.0,,,,
1897-02-27,USC00272174,-39.0,-206.0,0.0,0.0,,,,
1897-02-28,USC00272174,-28.0,-200.0,0.0,0.0,,,,
1897-12-01,USC00272174,-11.0,-117.0,0.0,8.0,,,,
1897-12-02,USC00272174,-17.0,-89.0,0.0,0.0,,,,
1897-12-03,USC00272174,-33.0,-100.0,25.0,25.0,,,,
1897-12-04,USC00272174,-11.0,-78.0,51.0,13.0,,,,
1897-12-05,USC00272174,61.0,-17.0,254.0,0.0,,,,
1897-12-06,USC00272174,-6.0,-78.0,0.0,0.0,,,,
1897-12-07,USC00272174,-17.0,-78.0,28.0,38.0,,,,
1897-12-08,USC00272174,17.0,-39.0,0.0,0.0,,,,
1897-12-09,USC00272174,44.0,-11.0,0.0,0.0,,,,
1897-12-10,USC00272174,83.0,-11.0,0.0,0.0,,,,
1897-12-11,USC00272174,133.0,17.0,0.0,0.0,,,,
1897-12-12,USC00272174,44.0,17.0,124.0,0.0,,,,
1897-12-13,USC00272174,39.0,-22.0,0.0,0.0,,,,
1897-12-14,USC00272174,28.0,-28.0,236.0,0.0,,,,
1897-12-15,USC00272174,94.0,22.0,323.0,0.0,,,,
1897-12-16,USC00272174,94.0,6.0,0.0,0.0,,,,
1897-12-17,USC00272174,72.0,-28.0,0.0,0.0,,,,
1897-12-18,USC00272174,33.0,-61.0,0.0,0.0,,,,
1897-12-19,USC00272174,-83.0,-133.0,0.0,0.0,,,,
1897-12-20,USC00272174,-78.0,-150.0,0.0,0.0,,,,
1897-12-21,USC00272174,-11.0,-78.0,46.0,46.0,,,,
